CO,Vict num,Tot vic,Tot susp,V sex,V race,V age,Crm Stat,VO_1,VO_2,VO_3,VO_4,Inc MO,Inc day,Inc YR,Week day,Death YR,Means of Death,Loc,PE,Spec Circ
30,1.0,1.0,1.0,2.0,W,39,1,23,,,,3,1,2016,3.0,2016.0,8,02,62,0.0
30,1.0,1.0,1.0,2.0,W,50,1,23,,,,12,2,2016,6.0,2016.0,7,02,45,0.0
30,1.0,1.0,1.0,2.0,H,43,1,2,,,,5,31,2016,3.0,2016.0,2,00,62,0.0
30,1.0,1.0,1.0,2.0,W,57,1,2,,,,9,14,2016,4.0,2016.0,8,24,99,0.0
30,1.0,1.0,1.0,1.0,W,46,1,1,,,,10,27,2016,5.0,2016.0,2,24,99,0.0
31,1.0,1.0,1.0,2.0,H,31,1,23,,,,7,10,2016,1.0,2016.0,2,00,99,0.0
33,1.0,1.0,1.0,2.0,H,38,1,23,,,,5,12,2016,5.0,2016.0,6,16,62,0.0
33,1.0,1.0,1.0,2.0,H,32,1,23,,,,3,20,2016,1.0,2016.0,6,02,62,0.0
33,1.0,1.0,1.0,2.0,W,55,1,2,,,,4,25,2016,2.0,2016.0,2,02,62,999.0
33,1.0,1.0,1.0,2.0,H,44,1,23,,,,11,20,2016,1.0,2016.0,6,02,99,0.0
33,1.0,1.0,1.0,2.0,W,23,1,23,,,,7,10,2016,1.0,2016.0,6,16,99,0.0
33,1.0,1.0,1.0,2.0,W,48,1,23,,,,6,24,2016,6.0,2016.0,2,03,99,999.0
33,1.0,1.0,1.0,2.0,W,77,1,2,,,,4,4,2016,2.0,2016.0,4,01,26,0.0
34,1.0,1.0,1.0,2.0,W,28,1,23,,,,11,23,2016,4.0,2016.0,2,02,62,0.0
34,1.0,1.0,1.0,2.0,O,31,1,23,,,,3,14,2016,2.0,2016.0,2,13,62,0.0
34,1.0,1.0,1.0,2.0,W,49,1,23,,,,3,20,2016,1.0,2016.0,7,13,99,0.0
34,1.0,1.0,1.0,1.0,B,34,1,22,,,,8,28,2016,1.0,2016.0,2,13,99,0.0
34,1.0,1.0,1.0,2.0,B,68,1,23,,,,10,15,2016,7.0,2016.0,6,13,99,0.0
34,1.0,1.0,1.0,1.0,O,35,1,3,,,,10,4,2015,1.0,2015.0,8,13,62,0.0
34,1.0,1.0,1.0,2.0,H,48,1,23,,,,11,25,2016,6.0,2016.0,7,01,62,0.0
34,1.0,1.0,1.0,2.0,B,34,1,23,,,,3,28,2016,2.0,2016.0,5,13,62,0.0
36,1.0,1.0,1.0,2.0,W,56,1,2,,,,4,19,2016,3.0,2016.0,13,24,9,178.0
36,1.0,1.0,1.0,2.0,H,27,1,23,,,,1,2,2016,7.0,2016.0,15,03,62,0.0
36,1.0,1.0,1.0,2.0,H,22,1,23,,,,11,17,2016,5.0,2016.0,1,02,62,0.0
36,1.0,1.0,1.0,2.0,W,29,1,23,,,,7,30,2016,7.0,2016.0,1,02,62,0.0
36,1.0,1.0,1.0,1.0,B,21,1,22,,,,1,11,2016,2.0,2016.0,6,02,62,0.0
36,1.0,1.0,1.0,2.0,H,33,1,2,,,,3,16,2016,4.0,2016.0,1,15,62,0.0
37,1.0,1.0,1.0,2.0,W,34,1,2,,,,1,1,2016,6.0,2016.0,2,02,62,0.0
37,1.0,1.0,1.0,2.0,W,48,1,23,,,,11,18,2016,6.0,2016.0,11,02,62,0.0
37,1.0,1.0,1.0,1.0,H,29,1,22,,,,11,18,2016,6.0,2016.0,6,02,62,0.0
37,1.0,1.0,1.0,2.0,W,64,1,23,,,,9,11,2016,1.0,2016.0,2,24,62,0.0
37,1.0,1.0,1.0,2.0,W,30,1,23,,,,6,10,2016,6.0,2016.0,8,13,99,0.0
37,1.0,1.0,1.0,2.0,H,49,1,2,,,,6,24,2016,6.0,2016.0,3,02,62,0.0
37,1.0,1.0,1.0,2.0,B,35,1,23,,,,9,29,2016,5.0,2016.0,1,07,45,0.0
37,1.0,1.0,1.0,2.0,B,29,1,23,,,,10,12,2016,4.0,2016.0,2,02,62,0.0
38,1.0,1.0,1.0,2.0,A,60,1,2,,,,1,14,2016,5.0,2016.0,6,02,62,0.0
39,1.0,1.0,1.0,2.0,H,39,1,23,,,,1,15,2016,6.0,2016.0,2,15,62,0.0
39,1.0,1.0,1.0,2.0,W,45,1,25,,,,6,7,2016,3.0,2016.0,2,02,99,0.0
40,1.0,1.0,1.0,2.0,W,87,1,2,,,,2,13,2016,7.0,2016.0,2,02,99,0.0
41,1.0,1.0,3.0,1.0,B,27,1,22,30.0,30.0,,5,11,2016,4.0,2016.0,2,03,40,150.0
41,1.0,1.0,1.0,2.0,W,57,1,2,,,,2,15,2016,2.0,2016.0,0,00,99,0.0
41,1.0,1.0,1.0,2.0,W,23,1,23,,,,12,17,2016,7.0,2016.0,7,13,62,140.0
